datetime,DCE.jd2005.open,DCE.jd2005.high,DCE.jd2005.low,DCE.jd2005.close,DCE.jd2005.volume,DCE.jd2005.open_oi,DCE.jd2005.close_oi
2020-01-06 00:00:00.000000000,3533.0,3558.0,3451.0,3484.0,354644,285821,297042
2020-01-07 00:00:00.000000000,3490.0,3539.0,3465.0,3537.0,399736,297042,284814
2020-01-08 00:00:00.000000000,3520.0,3555.0,3507.0,3515.0,287530,284814,297154
2020-01-09 00:00:00.000000000,3490.0,3505.0,3406.0,3412.0,392515,297154,317069
2020-01-10 00:00:00.000000000,3400.0,3439.0,3381.0,3398.0,308387,317069,312760
2020-01-13 00:00:00.000000000,3405.0,3450.0,3373.0,3430.0,382454,312760,308089
2020-01-14 00:00:00.000000000,3440.0,3448.0,3408.0,3415.0,260423,308089,314447
2020-01-15 00:00:00.000000000,3400.0,3456.0,3390.0,3428.0,277694,314447,320059
2020-01-16 00:00:00.000000000,3430.0,3543.0,3430.0,3500.0,533214,320059,280847
2020-01-17 00:00:00.000000000,3500.0,3542.0,3500.0,3519.0,290538,280847,280778
2020-01-20 00:00:00.000000000,3522.0,3603.0,3472.0,3579.0,491535,280778,247970
2020-01-21 00:00:00.000000000,3578.0,3590.0,3546.0,3561.0,247892,247970,246766
2020-01-22 00:00:00.000000000,3505.0,3524.0,3404.0,3435.0,390813,246766,232983
2020-01-23 00:00:00.000000000,3414.0,3477.0,3410.0,3441.0,252757,232983,211684
2020-02-03 00:00:00.000000000,3203.0,3203.0,3203.0,3203.0,33506,211684,203467
2020-02-04 00:00:00.000000000,3000.0,3186.0,2929.0,3179.0,420664,203467,195312
2020-02-05 00:00:00.000000000,3185.0,3276.0,3182.0,3233.0,501276,195312,223092
2020-02-06 00:00:00.000000000,3233.0,3317.0,3233.0,3307.0,381305,223092,230523
2020-02-07 00:00:00.000000000,3290.0,3345.0,3265.0,3312.0,550606,230523,257392
2020-02-10 00:00:00.000000000,3280.0,3368.0,3271.0,3342.0,520397,257392,265217
2020-02-11 00:00:00.000000000,3341.0,3365.0,3285.0,3313.0,458662,265217,270801
2020-02-12 00:00:00.000000000,3305.0,3327.0,3231.0,3256.0,520820,270801,282953
2020-02-13 00:00:00.000000000,3245.0,3270.0,3204.0,3245.0,581553,282953,293720
2020-02-14 00:00:00.000000000,3260.0,3276.0,3220.0,3257.0,416696,293720,286969
